neighborhood,building_class_category,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,building_class_at_time_of_sale,sale_price,sale_date,unit_price,sqft_price
ALPHABET CITY,01 ONE FAMILY DWELLINGS,A4,347 EAST 4TH STREET,,10009,1.0,0.0,1.0,2116.0,4400.0,1900.0,A4,399000,2022-09-29,399000.0,90.68181818181819
ALPHABET CITY,02 TWO FAMILY DWELLINGS,S2,110 AVENUE C,,10009,2.0,1.0,3.0,1503.0,2790.0,1901.0,S2,2999999,2022-09-15,999999.6666666666,1075.268458781362
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C1,326 EAST 4TH STREET,,10009,10.0,0.0,10.0,2204.0,8625.0,1899.0,C1,16800000,2022-08-04,1680000.0,1947.8260869565217
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C1,328 EAST 4TH STREET,,10009,10.0,0.0,10.0,2204.0,8625.0,1900.0,C1,16800000,2022-08-04,1680000.0,1947.8260869565217
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,"719 EAST SIXTH STREET, 1B",,10009,20.0,0.0,20.0,2302.0,9750.0,1900.0,C4,158822,2022-09-27,7941.1,16.289435897435897
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C7,"434 EAST 10TH STREET, 4",,10009,7.0,1.0,8.0,4337.0,14347.0,1920.0,C7,1635000,2022-08-05,204375.0,113.9611068516066
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,631 EAST 6TH STREET,,10009,10.0,0.0,10.0,2271.0,6985.0,1900.0,C4,5250000,2022-06-16,525000.0,751.6105941302792
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C1,"209 EAST 7 STREET, 5W",,10009,29.0,0.0,29.0,3900.0,18099.0,1900.0,C1,235251,2022-06-22,8112.103448275862,12.99801093983093
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C7,"167 AVENUE C, 3B",,10009,8.0,2.0,10.0,1920.0,7485.0,1920.0,C7,21919,2022-05-04,2191.9,2.928390113560454
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,638 EAST 14TH STREET,,10009,20.0,0.0,20.0,2779.0,10740.0,1920.0,C4,11800000,2022-06-09,590000.0,1098.6964618249535
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,640 EAST 14TH STREET,,10009,20.0,0.0,20.0,2831.0,10900.0,1920.0,C4,11800000,2022-06-09,590000.0,1082.5688073394494
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C7,6 AVENUE B,,10009,10.0,1.0,11.0,1819.0,7995.0,1900.0,C7,1050000,2023-01-27,95454.54545454546,131.33208255159474
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,162 EAST 7TH STREET,,10009,14.0,0.0,14.0,2271.0,6794.0,1900.0,C4,22000000,2022-08-23,1571428.5714285714,3238.151309979394
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,188 AVENUE B,,10009,4.0,1.0,5.0,1810.0,4280.0,1930.0,C4,8430003,2022-06-24,1686000.6,1969.6268691588784
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,C4,186 AVENUE B,,10009,8.0,2.0,10.0,2715.0,7340.0,1930.0,C4,8430003,2022-06-24,843000.3,1148.5017711171663
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,D6,58-72 AVENUE A,,10009,76.0,8.0,84.0,19266.0,79956.0,1940.0,D6,64000000,2022-09-12,761904.7619047619,800.4402421331732
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,D3,156 EAST 7TH STREET,,10009,32.0,1.0,33.0,6815.0,20382.0,1915.0,D3,22000000,2022-08-23,666666.6666666666,1079.3837699931312
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"317 EAST 3 STREET, 2",,10009,,,,,,1925.0,C6,555000,2022-12-20,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 3 STREET, 28",,10009,,,,,,1920.0,C6,455000,2022-04-29,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 3RD STREET, 10",,10009,,,,,,1920.0,C6,495000,2022-08-19,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 3RD STREET, 16",,10009,,,,,,1920.0,C6,550000,2022-07-07,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 3RD STREET, 2",,10009,,,,,,1920.0,C6,370000,2022-09-02,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 3RD STREET, 31",,10009,,,,,,1920.0,C6,552000,2022-05-25,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"368 EAST 8TH, 5D",,10009,,,,,,1923.0,C6,135000,2022-12-21,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"265 EAST 7TH STREET, 1",,10009,,,,,,1900.0,C6,1077000,2022-07-12,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"414 EAST 10TH STREET, 3C",,10009,,,,,,1930.0,C6,335000,2022-06-29,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"268 EAST 4 STREET, 1CD",,10009,,,,,,1923.0,C6,705000,2022-04-01,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"268 EAST 4TH STREET, 3C",,10009,,,,,,1923.0,C6,479000,2023-03-09,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"268 EAST 4TH STREET, 5CD",,10009,,,,,,1923.0,C6,705000,2022-05-31,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"55 AVENUE C, 10",,10009,,,,,,1900.0,C6,775000,2022-06-24,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"204 EAST 7TH STREET, 12",,10009,,,,,,1900.0,C6,420000,2023-02-15,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"216 EAST 7TH STREET, 8",,10009,,,,,,1925.0,C6,770000,2022-11-19,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"224 EAST 7TH STREET, 13",,10009,,,,,,1950.0,C6,1040000,2022-08-15,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"625 EAST 6TH STREET, 2",,10009,,,,,,1910.0,C6,800000,2022-12-07,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"625 EAST 6TH STREET, 5",,10009,,,,,,1910.0,C6,499000,2022-05-10,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"621 EAST 6TH STREET, 6",,10009,,,,,,1920.0,C6,680000,2022-06-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"613 EAST 6TH STREET, 4A",,10009,,,,,,1920.0,C6,1187500,2022-08-05,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"199 EAST 7TH STREET, 2B",,10009,,,,,,1935.0,C6,747500,2022-06-27,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"199 EAST 7TH STREET, 3A",,10009,,,,,,1935.0,C6,1645000,2022-07-21,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"616 EAST 9TH STREET, 3W",,10009,,,,,,1910.0,C6,605000,2022-09-22,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"303 EAST 8 STREET, DE",,10009,,,,,,1900.0,C6,1225000,2022-04-07,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"149 AVENUE C, 3R",,10009,,,,,,1900.0,C6,620000,2022-06-17,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"633 EAST 11TH STREET, 10",,10009,,,,,,1937.0,C6,499998,2022-07-07,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"633 EAST 11TH STREET, 20",,10009,,,,,,1937.0,C6,347500,2022-09-29,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"628 EAST 14TH STREET, 10",,10009,,,,,,1920.0,C6,499950,2022-04-14,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"628 EAST 14TH STREET, 3",,10009,,,,,,1920.0,C6,420000,2023-03-15,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"630 EAST 14TH STREET, 11",,10009,,,,,,1920.0,C6,430000,2022-12-20,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"630 EAST 14TH STREET, 3",,10009,,,,,,1920.0,C6,387000,2022-05-12,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"634 EAST 14TH STREET, 10",,10009,,,,,,1920.0,C6,442636,2022-12-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"636 EAST 14TH STREET, 16",,10009,,,,,,1920.0,C6,469617,2022-12-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"636 EAST 14TH STREET, 18",,10009,,,,,,1920.0,C6,480000,2023-02-27,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"636 EAST 14TH STREET, 3",,10009,,,,,,1920.0,C6,449000,2022-07-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"185 EAST 2ND STREET, 3B",,10009,,,,,,1915.0,C6,458000,2022-05-09,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"162 EAST 2ND STREET, 1B",,10009,,,,,,1950.0,C6,315000,2022-10-28,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"225 EAST 4TH STREET, 11",,10009,,,,,,1937.0,C6,380000,2022-05-05,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"223 EAST 4TH STREET, 1",,10009,,,,,,1937.0,C6,550000,2022-04-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"524 EAST 6TH STREET, 5",,10009,,,,,,1900.0,C6,470000,2023-02-10,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"524 EAST 6TH STREET, 8",,10009,,,,,,1900.0,C6,605000,2022-12-14,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"513 EAST 5TH STREET, 1B",,10009,,,,,,1929.0,C6,865000,2022-04-28,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"513 EAST 5TH STREET, 2A",,10009,,,,,,1929.0,C6,410000,2023-03-03,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"537 EAST 6TH STREET, 3F",,10009,,,,,,1900.0,C6,750000,2022-09-22,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"535 EAST 6TH STREET, 6",,10009,,,,,,1900.0,C6,999500,2022-09-09,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"514 EAST 11TH STREET, 3A",,10009,,,,,,1929.0,C6,575000,2023-02-01,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"518 EAST 11TH STREET, 5A",,10009,,,,,,1900.0,C6,1090000,2022-05-10,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"534 EAST 11TH STREET, 14/15",,10009,,,,,,1920.0,C6,638000,2022-10-18,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"534 EAST 11TH STREET, 2/3",,10009,,,,,,1920.0,C6,760000,2022-04-29,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"544 EAST 11TH STREET, 4B",,10009,,,,,,1928.0,C6,732000,2022-06-16,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 10TH STREET, 2A",,10009,,,,,,1900.0,C6,1045000,2022-10-04,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"311 EAST 10TH STREET, 4A",,10009,,,,,,1900.0,C6,999000,2022-06-08,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"297 EAST 10TH STREET, 1B",,10009,,,,,,1925.0,C6,1300000,2022-12-15,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"297 EAST 10TH STREET, 4A",,10009,,,,,,1925.0,C6,950000,2022-08-16,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"514 EAST 13TH STREET, 1RR",,10009,,,,,,1900.0,C6,202500,2022-10-19,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,C6,"514 EAST 13TH STREET, 3R",,10009,,,,,,1900.0,C6,320000,2022-09-20,,
